Text,Phonetic,Meaning,Example,DifficultyLevel
conversation,/ˌkɒnvəˈseɪʃn/,n. 对话,a phone conversation,1
conversion,/kənˈvɜːʃn/,n. 转换,Their main business is the conversion of farm buildings into family homes.,4
convert,/kənˈvɜːt/,v. 转变,"convert something, They took just nine months to convert the building.",3
convey,/kənˈveɪ/,v. 传达,"convey something, Colours like red convey a sense of energy and strength.",3
convict,/kənˈvɪkt/,v. 定罪,"be convicted (of something), He was convicted of fraud.",4
conviction,/kənˈvɪkʃn/,n. 定罪,He plans to appeal against his conviction.,4
convince,/kənˈvɪns/,v. 说服,"convince somebody/yourself, Are the prime minister's assurances enough to convince the public?",2
convinced,/kənˈvɪnst/,adj. 确信,Sam nodded but he didn't look convinced.,3
convincing,/kənˈvɪnsɪŋ/,adj. 令人信服的,a convincing argument/explanation/case,3
cook,/kʊk/,n. 厨师,John is a very good cook (= he cooks well).,1
cooker,/ˈkʊkə(r)/,n. 炊具,a gas cooker,1
cooking,/ˈkʊkɪŋ/,n. 烹饪,My husband does all the cooking.,1
cool,/kuːl/,adj. 凉爽的,cool air/water,1
cooperate,/kəʊˈɒpəreɪt/,v. 合作,The two groups agreed to cooperate with each other.,4
cooperative,/kəʊˈɒpərətɪv/,adj. 合作社,Cooperative activity is essential to effective community work.,4
coordinate,/kəʊˈɔːdɪneɪt/,v. 协调,"coordinate something, They appointed a new manager to coordinate the work of the team.",4
coordination,/kəʊˌɔːdɪˈneɪʃn/,n. 协调,The aim was to improve the coordination of services.,4
coordinator,/kəʊˈɔːdɪneɪtə(r)/,n. 协调员,The campaign needs an effective coordinator.,4
cop,/kɒp/,n. 警察,Somebody call the cops!,4
cope,/kəʊp/,v. 应付,I got to the stage where I wasn't coping any more.,3
copper,/ˈkɒpə(r)/,n. 铜,a copper mine,4
copy,/ˈkɒpi/,n. 复制,The thieves replaced the original painting with a copy.,1
copyright,/ˈkɒpiraɪt/,n. 版权,Copyright expires seventy years after the death of the author.,4
core,/kɔː(r)/,adj. 核,core subjects (= subjects that all the students have to study) such as English and mathematics,3
corner,/ˈkɔːnə(r)/,n. 角落,the four corners of a square,1
corporate,/ˈkɔːpərət/,adj. 公司的,corporate finance/profits/tax,3
corporation,/ˌkɔːpəˈreɪʃn/,n. 公司,multinational corporations,3
correct,/kəˈrekt/,adj. 正确的,Do you have the correct time?,1
correction,/kəˈrekʃn/,n. 更正,I've made a few small corrections to your report.,4
correctly,/kəˈrektli/,adv. 正确地,Have you spelled it correctly?,1
correlate,/ˈkɒrəleɪt/,v. 关联,The figures do not seem to correlate.,4
correlation,/ˌkɒrəˈleɪʃn/,n. 相关性,"correlation between A and B, There is a direct correlation between exposure to sun and skin cancer.",4
correspond,/ˌkɒrəˈspɒnd/,v. 对应,Your account and hers do not correspond.,4
correspondence,/ˌkɒrəˈspɒndəns/,n. 一致,personal/private correspondence,4
correspondent,/ˌkɒrəˈspɒndənt/,n. 记者,She's the BBC's political correspondent.,4
corresponding,/ˌkɒrəˈspɒndɪŋ/,adj. 相应的,A change in the money supply brings a corresponding change in expenditure.,4
corridor,/ˈkɒrɪdɔː(r)/,n. 走廊,His room is along the corridor.,3
corrupt,/kəˈrʌpt/,adj. 腐败,It was seen as the only way to overthrow a corrupt regime.,4
corruption,/kəˈrʌpʃn/,n. 腐败,allegations of bribery and corruption,4
cost,/kɒst/,n. 成本,"cost of something, the high/low cost of housing",1
costly,/ˈkɒstli/,adj. 昂贵,Buying new furniture may prove too costly.,4
costume,/ˈkɒstjuːm/,n. 戏服,an exhibition of Victorian costumes,2
cottage,/ˈkɒtɪdʒ/,n. 小屋,a thatched cottage,2
cotton,/ˈkɒtn/,n. 棉布," From the age of six she worked in the fields, picking cotton.",2
could,/kəd/,mod. 可以,She said that she couldn't come.,1
council,/ˈkaʊnsl/,n. 理事会,a town council,3
councillor,/ˈkaʊnsələ(r)/,n. 议员,Councillor Ann Jones,4
counselling,/ˈkaʊnsəlɪŋ/,n. 辅导,The couple decided to go for relationship counselling.,4
counsellor,/ˈkaʊnsələ(r)/,n. 顾问,I went to see a debt counsellor and she agreed to come to the bank with me.,4
count,/kaʊnt/,n. 数数,"If the election result is close, there will be a second count.",2
counter,/ˈkaʊntə(r)/,n. 柜台,"behind the counter, I asked the woman behind the counter if they had any postcards.",3
counterpart,/ˈkaʊntəpɑːt/,n. 对方,The Foreign Minister held talks with his Chinese counterpart.,4
countless,/ˈkaʊntləs/,adj. 无数,I've warned her countless times.,4
country,/ˈkʌntri/,n. 国家,European countries,1
countryside,/ˈkʌntrisaɪd/,n. 农村,The surrounding countryside is windswept and rocky.,2
county,/ˈkaʊnti/,n. 县,rural counties west of the Mississippi,3
coup,/kuː/,n. 政变,He seized power in a military coup in 2008.,4
couple,/ˈkʌpl/,n. 夫妻,I saw a couple of men get out.,1
courage,/ˈkʌrɪdʒ/,n. 勇气,He showed great courage and determination.,3
course,/kɔːs/,n. 课程,a French/chemistry course,1
court,/kɔːt/,n. 法庭,the civil/criminal courts,2
courtesy,/ˈkɜːtəsi/,n. 礼貌,I was treated with the utmost courtesy by the staff.,4
cousin,/ˈkʌzn/,n. 表哥,She's my cousin.,1
cover,/ˈkʌvə(r)/,n. 覆盖,Brighten up your room with some colourful cushion covers.,2
coverage,/ˈkʌvərɪdʒ/,n. 覆盖范围,media/newspaper/press coverage,3
covered,/ˈkʌvəd/,adj. 覆盖,His face was covered in blood.,2
cow,/kaʊ/,n. 奶牛,to milk a cow,1
crack,/kræk/,n. 裂缝,This cup has a crack in it.,3
craft,/krɑːft/,an activity involving a special skill at making things with your hands,traditional crafts like basket-weaving,3
crash,/kræʃ/,n. 碰撞,a car/plane crash,3
crawl,/krɔːl/,v. 爬行,Our baby is just starting to crawl.,4
crazy,/ˈkreɪzi/,adj. 疯狂的,Are you crazy? We could get killed doing that.,1
cream,/kriːm/,adj. 奶油,a cream linen suit,2
create,/kriˈeɪt/,v. 创造,Scientists disagree about how the universe was created.,1
creation,/kriˈeɪʃn/,n. 创建,Job creation needs to be the top priority.,3
creative,/kriˈeɪtɪv/,adj. 有创造力的,"a course on creative writing (= writing stories, plays and poems)",1
creativity,/ˌkriːeɪˈtɪvəti/,n. 创造力,Creativity and originality are more important than technical skill.,3
creator,/kriˈeɪtə(r)/,n. 创造者,"Walt Disney, the creator of Mickey Mouse",4
creature,/ˈkriːtʃə(r)/,n. 生物,respect for all living creatures,3
credibility,/ˌkredəˈbɪləti/,n. 可信度,to gain/lack/lose credibility,4
credible,/ˈkredəbl/,adj. 可信的,a credible explanation/witness,4
credit,/ˈkredɪt/,n. 信用,to get credit,1
creep,/kriːp/,v. 蠕变,"I crept up the stairs, trying not to wake my parents.",4
crew,/kruː/,n. 全体人员,crew members,3
crime,/kraɪm/,n. 犯罪,This month's figures show an increase in violent crime.,1
criminal,/ˈkrɪmɪnl/,adj. 刑事,criminal offences/activities,2
crisis,/ˈkraɪsɪs/,n. 危机,an economic/a financial crisis,3
criterion,/kraɪˈtɪəriən/,n. 标准,The main criterion is value for money.,3
critic,/ˈkrɪtɪk/,n. 评论家,a film/an art/a music critic,3
critical,/ˈkrɪtɪkl/,adj. 批判的, You should just ignore any critical comments.,3
critically,/ˈkrɪtɪkli/,adv. 批判地,She spoke critically of her father.,3
criticism,/ˈkrɪtɪsɪzəm/,n. 批评,to draw/face/receive criticism,3
criticize,/ˈkrɪtɪsaɪz/,v. 批评,All you ever do is criticize!,3
critique,/krɪˈtiːk/,n. 批判,She wrote a feminist critique of Freud's theories.,4
crop,/krɒp/,n. 庄稼,Sugar is an important crop on the island.,3
cross,/krɒs/,n. 叉,I've put a cross on the map to show where the hotel is.,1
crowd,/kraʊd/,n. 人群,He pushed his way through the crowd.,1
crowded,/ˈkraʊdɪd/,adj. 挤,We made our way through the crowded streets.,1
crown,/kraʊn/,n. 王冠,The crown was placed upon the new monarch's head.,4
crucial,/ˈkruːʃl/,adj. 至关重要的,The next few weeks are going to be crucial.,3
crude,/kruːd/,adj. 原油,crude oil/metal,4
cruel,/ˈkruːəl/,adj. 残忍的,He was known to be a cruel dictator.,2
cruise,/kruːz/,n. 巡航,I'd love to go on a round-the-world cruise.,3
crush,/krʌʃ/,v. 压碎,The car was completely crushed under the truck.,4
cry,/kraɪ/,n. 哭,"cry of something, to give a cry of anguish/despair/pain/joy/alarm, etc.",3
crystal,/ˈkrɪstl/,n. 水晶,ice/salt crystals,4
cue,/kjuː/,n. 提示,"cue (for something), Jon's arrival was a cue for more champagne.",3
cult,/kʌlt/,adj. 邪教,a cult movie/book,4
cultivate,/ˈkʌltɪveɪt/,v. 培育,The land around here has never been cultivated.,4
cultural,/ˈkʌltʃərəl/,adj. 文化,Teachers need to be aware of cultural differences.,2
culture,/ˈkʌltʃə(r)/,n. 文化,African/American/European/Islamic culture,1
cup,/kʌp/,n. 杯子,He filled the cup with water.,1
cupboard,/ˈkʌbəd/,n. 橱柜,kitchen cupboards,1
cure,/kjʊə(r)/,n. 治愈,"cure for something, the search for a cure for cancer",3
curiosity,/ˌkjʊəriˈɒsəti/,n. 好奇心,Children show curiosity about everything.,4
curious,/ˈkjʊəriəs/,having a strong desire to know about something,"He is such a curious boy, always asking questions.",3
curly,/ˈkɜːli/,adj. 卷曲,long curly hair,1
currency,/ˈkʌrənsi/,n. 货币,trading in foreign currencies,2
current,/ˈkʌrənt/,adj. 当前的,The necklace would be worth over $5 000 at current prices.,2
currently,/ˈkʌrəntli/,adv. 现在,The hourly charge is currently £35.,2
curriculum,/kəˈrɪkjələm/,n. 课程,The school curriculum should be as broad as possible.,3
curtain,/ˈkɜːtn/,n. 窗帘,to draw/pull/close the curtains (= to pull them across the window so they cover it),2
curve,/kɜːv/,n. 曲线,"curve of something, He admired the delicate curve of her ear.",3
curved,/kɜːvd/,adj. 弯曲,a curved edge/surface,3
custody,/ˈkʌstədi/,n. 保管,Who will have custody of the children?,4
custom,/ˈkʌstəm/,n. 风俗,It's a local custom.,2
customer,/ˈkʌstəmə(r)/,n. 顾客,marketing strategies to target potential customers,1
cut,/kʌt/,n. 切,cuts and bruises on the face,2
cute,/kjuːt/,adj. 可爱的,a cute little baby,3
cutting,/ˈkʌtɪŋ/,n. 切割,newspaper/press cuttings,4
cycle,/ˈsaɪkl/,n. 循环,He was riding his cycle home when he was hit by a lorry.,1
cynical,/ˈsɪnɪkl/,adj. 愤世嫉俗的,a cynical view/smile,4
dad,/dæd/,n. 爸爸,That's my dad over there.,1
daily,/ˈdeɪli/,adj. 日常的,Many people still read a daily newspaper.,1
dairy,/ˈdeəri/,adj. 奶制品,dairy products/produce,3
dam,/dæm/,n. 坝,the Narmada dam in India,4
damage,/ˈdæmɪdʒ/,n. 损害,serious/severe damage,2
damaging,/ˈdæmɪdʒɪŋ/,adj. 破坏性的,damaging consequences/effects,4
dance,/dɑːns/,n. 舞蹈,Do you know any other Latin American dances?,1
dancer,/ˈdɑːnsə(r)/,n. 舞蹈家,She's a fantastic dancer.,1
dancing,/ˈdɑːnsɪŋ/,n. 跳舞,There was music and dancing till two in the morning.,1
danger,/ˈdeɪndʒə(r)/,n. 危险,Danger! Keep Out!,1
dangerous,/ˈdeɪndʒərəs/,adj. 危险的,The situation is extremely dangerous.,1
dare,/deə(r)/,v. 敢,She said it as loudly as she dared.,3
dark,/dɑːk/,adj. 黑暗的,a dark room/street/forest/night,1
darkness,/ˈdɑːknəs/,n. 黑暗,After a few minutes our eyes got used to the darkness.,3
data,/ˈdeɪtə/,n. 数据,We collected publicly available data over a 10-day period.,1
database,/ˈdeɪtəbeɪs/,n. 数据库,The database is updated monthly.,3
date,/deɪt/,n. 日期,‘What's the date today?’ ‘The 10th.’,1
daughter,/ˈdɔːtə(r)/,n. 女儿,We have two sons and a daughter.,1
dawn,/dɔːn/,n. 黎明,"at dawn, They start work at dawn.",4
day,/deɪ/,n. 天,‘What day is it today?’ ‘Monday.’,1
dead,/ded/,no longer alive,My mother's dead; she died in 2017.,1
deadline,/ˈdedlaɪn/,n. 最后期限,I prefer to work to a deadline.,3
deadly,/ˈdedli/,adj. 致命,a deadly weapon/disease,3
deal,/diːl/,n. 交易,to sign/strike/finalize/close a deal ,2
dealer,/ˈdiːlə(r)/,n. 经销商,an art/antique dealer,3
dear,/dɪə(r)/,adj. 亲爱的,Dear Sir or Madam,1
death,/deθ/,n. 死亡,the anniversary of his wife’s death,1
debate,/dɪˈbeɪt/,n. 辩论,the first ever televised presidential debate,3
debris,/ˈdebriː/,n. 碎片,Emergency teams are still clearing the debris from the plane crash.,4
debt,/det/,n. 债务,to pay/repay a debt,3
debut,/ˈdeɪbjuː/,n. 首次亮相,He will make his debut for the first team this week.,4
decade,/ˈdekeɪd/,n. 十年,the early decades of the nineteenth century,2
December,/dɪˈsembə(r)/,n. 十二月,She was born in December.,1
decent,/ˈdiːsnt/,adj. 体面的,a decent meal/place to live ,3
decide,/dɪˈsaɪd/,v. 决定,It's up to you to decide.,1
decision,/dɪˈsɪʒn/,n. 决定,I think I've made the right decision.,1
decision-making,/dɪˈsɪʒn meɪkɪŋ/,n. 决策,responsibility for decision-making,4
decisive,/dɪˈsaɪsɪv/,adj. 决定性,a decisive factor/victory/battle,4
deck,/dek/,n. 甲板,"on deck, I was the only person on deck at that time of night.",3
declaration,/ˌdekləˈreɪʃn/,n. 宣言,to issue/sign a declaration,4
declare,/dɪˈkleə(r)/,v. 宣布,"declare something, The government has declared a state of emergency.",3
decline,/dɪˈklaɪn/,n. 衰退,"decline in something, There has been a 5 per cent decline in student numbers.",3
decorate,/ˈdekəreɪt/,v. 装饰,"decorate something with something, They decorated the room with flowers and balloons.",2
decoration,/ˌdekəˈreɪʃn/,n. 装饰,Christmas/festive decorations,3
decrease,/ˈdiːkriːs/,n. 减少,Sales for May show a decrease compared with the same month last year.,3
dedicated,/ˈdedɪkeɪtɪd/,adj. 投入的,a dedicated teacher,4
dedication,/ˌdedɪˈkeɪʃn/,n. 奉献,hard work and dedication,4
deed,/diːd/,n. 契据,It's a stirring tale of heroic deeds.,4
deem,/diːm/,v. 认为,"deem somebody/something + noun, The evening was deemed a great success.",4
deep,/diːp/,adj. 深的,a deep hole/well/river,1
deeply,/ˈdiːpli/,adv. 深,She is deeply religious.,3
default,/dɪˈfɔːlt/,n. 默认,The default is fifty lines.,4
defeat,/dɪˈfiːt/,n. 击败,The party faces defeat in the election.,3
defect,/ˈdiːfekt/,n. 缺点,a defect in the glass,4
defence,/dɪˈfens/,n. 防御,"in defence of somebody/something, soldiers who died in defence of their country",3
defend,/dɪˈfend/,v. 保卫,"defend somebody/something, The role of the military is to defend the country.",3
defender,/dɪˈfendə(r)/,n. 后卫,a passionate defender of human rights,3
defensive,/dɪˈfensɪv/,adj. 防御性的,As a defensive measure he built a series of coastal forts and watchtowers.,4
deficiency,/dɪˈfɪʃnsi/,n. 不足,"deficiency (in something), Vitamin deficiency in the diet can cause illness.",4
deficit,/ˈdefɪsɪt/,n. 赤字,a budget/trade deficit,4
define,/dɪˈfaɪn/,v. 定义,"define something, The term ‘normal’ is difficult to define.",2
definite,/ˈdefɪnət/,adj. 定,Can you give me a definite answer by tomorrow?,2
definitely,/ˈdefɪnətli/,adv. 确实,I definitely remember sending the letter.,1
definition,/ˌdefɪˈnɪʃn/,n. 定义,"The dictionary provides clear, simple definitions.",2
defy,/dɪˈfaɪ/,v. 违抗,I wouldn't have dared to defy my teachers.,4
degree,/dɪˈɡriː/,n. 程度,"at… degrees, Water freezes at 32 degrees Fahrenheit (32°F) or zero/nought degrees Celsius (0°C).",1
delay,/dɪˈleɪ/,n. 延迟,Commuters will face long delays on the roads today.,3
delegate,/ˈdelɪɡət/,n. 代表,Congress delegates rejected the proposals.,4
delegation,/ˌdelɪˈɡeɪʃn/,n. 代表团,the Dutch delegation to the United Nations,4
delete,/dɪˈliːt/,v. 删除,Your name has been deleted from the list.,3
deliberate,/dɪˈlɪbərət/,adj. 商榷,a deliberate act of vandalism,3
deliberately,/dɪˈlɪbərətli/,"done in a way that was planned, not by chance",She's been deliberately ignoring him all day.,3
